0,4,9581740,4923684,4658056,7005894,3600662,3405232,2575846,1323022,1252824
5,9,8558662,4389167,4169495,6081392,3119305,2962087,2477270,1269862,1207408
10,14,7408271,3791237,3617034,5246041,2684632,2561409,2162230,1106605,1055625
15,19,6689989,3418141,3271848,4823795,2454068,2369727,1866194,964073,902121
20,24,7827731,3993373,3834358,5846699,2937833,2908866,1981032,1055540,925492
25,29,11878430,6034298,5844132,9261824,4608721,4653103,2616606,1425577,1191029
30,34,12537448,6270161,6267287,9750930,4798310,4952620,2786518,1471851,1314667
35,39,11194479,5505186,5689293,8657443,4208161,4449282,2537036,1297025,1240011
40,44,10381038,5007750,5373288,7902204,3771836,4130368,2478834,1235914,1242920
45,49,9279470,4438688,4840782,6874859,3246864,3627995,2404611,1191824,1212787
50,54,9834894,4545011,5289883,7092707,3205367,3887340,2742187,1339644,1402543
55,59,11155125,4947111,6208014,8030765,3451046,4579719,3124360,1496065,1628295
60,64,9609832,3963518,5646314,7033967,2807763,4226204,2575865,1155755,1420110
65,69,7637223,2942496,4694727,5741992,2151124,3590868,1895231,791372,1103859
70,74,3416104,1193965,2222139,2601737,898256,1703481,814367,295709,518658
75,79,5101428,1514304,3587124,3711888,1087541,2624347,1389540,426763,962777
80,84,2594131,691621,1902510,1840879,482622,1358257,753252,208999,544253
85,89,1549253,359203,1190050,1101070,254930,846140,448183,104273,343910
90,94,483843,95819,388024,359336,73739,285597,124507,22080,102427
95,99,69577,15476,54101,53875,12635,41240,15702,2841,12861
100,,15704,4090,11614,13066,3582,9484,2638,508,2130
,,146804372,68044299,78760073,109032363,49858997,59173366,37772009,18185302,19586707
